category,subcategory,keywords,confidence
SHOPPING,DEPARTMENT_STORES,harrods,
SHOPPING,DEPARTMENT_STORES,harvey nichols,
PERSONAL,CARE,haircut,
PERSONAL,CARE,salon,
PERSONAL,CARE,beauty,
PERSONAL,CARE,therapy,
PERSONAL,CARE,grooming,
PERSONAL,CARE,cosmetics,
PERSONAL,CARE,skincare,
PERSONAL,CARE,hairdresser,
PERSONAL,CARE,beauty products,
PERSONAL,CARE,superdrug,
PERSONAL,CARE,boots,
PERSONAL,CARE,the body shop,
PERSONAL,CARE,lush,
PERSONAL,TECHNOLOGY,smartphone,
PERSONAL,TECHNOLOGY,laptop,
PERSONAL,TECHNOLOGY,tablet,
PERSONAL,TECHNOLOGY,computer,
PERSONAL,TECHNOLOGY,electronics,
PERSONAL,TECHNOLOGY,gadgets,
PERSONAL,TECHNOLOGY,tech accessories,
PERSONAL,TECHNOLOGY,currys,
PERSONAL,TECHNOLOGY,pc world,
PERSONAL,TECHNOLOGY,apple store,
PERSONAL,TECHNOLOGY,carphone warehouse,
PERSONAL,CLOTHING,clothing,
PERSONAL,CLOTHING,fashion,
PERSONAL,CLOTHING,shoes,
PERSONAL,CLOTHING,accessories,
PERSONAL,CLOTHING,online shopping,
PERSONAL,CLOTHING,boutique,
PERSONAL,CLOTHING,apparel,
PERSONAL,CLOTHING,footwear,
PERSONAL,CLOTHING,sports direct,
PERSONAL,CLOTHING,jd sports,
PERSONAL,CLOTHING,schuh,
HEALTHCARE,MEDICAL,prescription,
HEALTHCARE,MEDICAL,pharmacy,
HEALTHCARE,MEDICAL,optician,
HEALTHCARE,MEDICAL,dentist,
HEALTHCARE,MEDICAL,doctor,
HEALTHCARE,MEDICAL,medicine,
HEALTHCARE,MEDICAL,health check,
HEALTHCARE,MEDICAL,medical test,
HEALTHCARE,MEDICAL,health insurance,
HEALTHCARE,MEDICAL,boots pharmacy,
HEALTHCARE,MEDICAL,lloyds pharmacy,
HEALTHCARE,MEDICAL,specsavers,
HEALTHCARE,MEDICAL,vision express,
HEALTHCARE,FITNESS,gym,
HEALTHCARE,FITNESS,fitness,
HEALTHCARE,FITNESS,sports,
HEALTHCARE,FITNESS,yoga,
HEALTHCARE,FITNESS,pilates,
HEALTHCARE,FITNESS,personal trainer,
HEALTHCARE,FITNESS,fitness equipment,
HEALTHCARE,FITNESS,workout,
HEALTHCARE,FITNESS,exercise,
HEALTHCARE,FITNESS,pure gym,
HEALTHCARE,FITNESS,virgin active,
HEALTHCARE,FITNESS,fitness first,
HEALTHCARE,FITNESS,nuffield health,
HEALTHCARE,FITNESS,legacy leisure,
HEALTHCARE,FITNESS,leisure centre,
HEALTHCARE,FITNESS,sports centre,
HEALTHCARE,FITNESS,leisure,
HEALTHCARE,WELLNESS,massage,
HEALTHCARE,WELLNESS,therapy,
HEALTHCARE,WELLNESS,counselling,
HEALTHCARE,WELLNESS,alternative medicine,
HEALTHCARE,WELLNESS,supplements,
HEALTHCARE,WELLNESS,wellness center,
HEALTHCARE,WELLNESS,holland & barrett,
INCOME,REFUND,refund,
INCOME,REFUND,refunded,
INCOME,REFUND,reimbursement,
INCOME,REFUND,cashback,
INCOME,REFUND,money back,
INCOME,REFUND,returned payment,
INCOME,BILL_SHARE,received from ref water,
INCOME,BILL_SHARE,received from ref utilities,
INCOME,BILL_SHARE,received from ref food,
INCOME,BILL_SHARE,received from ref bills,
INCOME,BILL_SHARE,water payment,
INCOME,BILL_SHARE,utility payment,
INCOME,BILL_SHARE,bill share,
INCOME,EXPENSE_SHARE,received from ref weekend,
INCOME,EXPENSE_SHARE,received from ref share,
INCOME,EXPENSE_SHARE,expense share,
INCOME,EXPENSE_SHARE,cost share,
INCOME,EXPENSE_SHARE,shared payment,
INCOME,REGULAR_PAYMENT,received from ref mandd,
INCOME,REGULAR_PAYMENT,received from ref salary,
INCOME,REGULAR_PAYMENT,regular payment,
INCOME,REGULAR_PAYMENT,monthly payment,
INCOME,REGULAR_PAYMENT,wage payment,
INCOME,OTHER_INCOME,received from,
INCOME,OTHER_INCOME,payment received,
INCOME,OTHER_INCOME,income payment,
INCOME,OTHER_INCOME,credit received,
INCOME,SALARY,ostt ostt,
INCOME,SALARY,ostt payment,
INCOME,SALARY,salary payment,
INCOME,PERSONAL_TRANSFER,jake holmes,
INCOME,PERSONAL_TRANSFER,jake bonds,
INCOME,PERSONAL_TRANSFER,personal transfer,
INCOME,PERSONAL_TRANSFER,friend transfer,
INCOME,REFUND,experian uk,
INCOME,REFUND,experian,
INCOME,REFUND,refund,
INCOME,REFUND,reimbursement,
INCOME,REFUND,money back,
FOOD_DINING,RESTAURANTS,greek grill,
FOOD_DINING,RESTAURANTS,giggling squid,
FOOD_DINING,RESTAURANTS,mannaeatin,
FOOD_DINING,RESTAURANTS,rosebud,
FOOD_DINING,RESTAURANTS,coates,
FOOD_DINING,RESTAURANTS,poco,
FOOD_DINING,RESTAURANTS,original oak,
FOOD_DINING,RESTAURANTS,headingley taps,
FOOD_DINING,RESTAURANTS,queens head,
FOOD_DINING,CAFES,Card Payment to Portland Coffee,
FOOD_DINING,CAFES,200 degrees,
FOOD_DINING,CAFES,portland coffee co,
FOOD_DINING,CAFES,avo,
FOOD_DINING,CAFES,coffee,
FOOD_DINING,CAFES,cafe,
FOOD_DINING,CAFES,paul applegate,
FOOD_DINING,VENDING,ltt vending,
FOOD_DINING,VENDING,vending,
TRANSPORT,MICROMOBILITY,superpedestrian,
TRANSPORT,MICROMOBILITY,tier,
TRANSPORT,PUBLIC_TRANSPORT,contactless.travel,
TRANSPORT,PUBLIC_TRANSPORT,nottingham contact,
SHOPPING,CLOTHING,lounge underwear,
SHOPPING,CLOTHING,hollister,
SHOPPING,CLOTHING,new look,
SHOPPING,CLOTHING,aybl,
SHOPPING,HEALTH_FITNESS,protein works,
SHOPPING,HEALTH_FITNESS,proteinwor,
SHOPPING,ONLINE_RETAIL,paypal,
SHOPPING,ONLINE_RETAIL,amazon,
SHOPPING,ONLINE_RETAIL,ebay,
SHOPPING,GIFTS,moonpig,
ENTERTAINMENT,BARS_PUBS,taps,
ENTERTAINMENT,BARS_PUBS,oak,
ENTERTAINMENT,BARS_PUBS,pub,
ENTERTAINMENT,BARS_PUBS,bar,
ENTERTAINMENT,BARS_PUBS,lounge,
ENTERTAINMENT,BARS_PUBS,george green libra,
ENTERTAINMENT,BARS_PUBS,your local,
ENTERTAINMENT,BARS_PUBS,the griffin,
ENTERTAINMENT,BARS_PUBS,griffin london,
ENTERTAINMENT,SOCIAL,tier lounge,
DIGITAL_SERVICES,ADVERTISING,facebook,
DIGITAL_SERVICES,ADVERTISING,meta,
DIGITAL_SERVICES,SUBSCRIPTIONS,netflix,
DIGITAL_SERVICES,SUBSCRIPTIONS,spotify,
DIGITAL_SERVICES,SUBSCRIPTIONS,amazon prime,
DIGITAL_SERVICES,SUBSCRIPTIONS,apple.com/bill,
DIGITAL_SERVICES,SUBSCRIPTIONS,apple subscription,
DIGITAL_SERVICES,SUBSCRIPTIONS,itunes,
DIGITAL_SERVICES,SUBSCRIPTIONS,app store,
DIGITAL_SERVICES,SUBSCRIPTIONS,int'l apple.com,
DIGITAL_SERVICES,SUBSCRIPTIONS,apple.com,
DIGITAL_SERVICES,BEAUTY_SERVICES,treatwell,
PERSONAL_CARE,BEAUTY,lounge underwear,
PERSONAL_CARE,BEAUTY,treatwell,
PERSONAL_CARE,GROOMING,barber,
PERSONAL_CARE,GROOMING,salon,
PERSONAL_CARE,GROOMING,spa,
FEES,SERVICE_FEES,service charge,
FEES,SERVICE_FEES,processing fee,
FEES,SERVICE_FEES,admin fee,
FEES,SERVICE_FEES,service fee,
FEES,SERVICE_FEES,card payment to,
FEES,SERVICE_FEES,payment fee,
FEES,CARD_FEES,card fee,
FEES,CARD_FEES,foreign transaction fee,
FEES,CARD_FEES,atm fee,
FEES,BANK_FEES,account fee,
FEES,BANK_FEES,overdraft fee,
FEES,BANK_FEES,monthly fee,
FEES,BANK_FEES,maintenance fee,
TRANSFERS,BANK_TRANSFER,transfer,
TRANSFERS,BANK_TRANSFER,monzo,
TRANSFERS,BANK_TRANSFER,revolut,
TRANSFERS,BANK_TRANSFER,wise,
TRANSFERS,BANK_TRANSFER,faster payments,
TRANSFERS,INTERNAL_TRANSFER,own account,
TRANSFERS,INTERNAL_TRANSFER,savings transfer,
MISCELLANEOUS,UNEXPECTED,emergency,
MISCELLANEOUS,UNEXPECTED,unexpected expense,
MISCELLANEOUS,UNEXPECTED,one-time cost,
MISCELLANEOUS,UNEXPECTED,unplanned payment,
MISCELLANEOUS,UNEXPECTED,one-off purchase,
MISCELLANEOUS,CASH,atm withdrawal,
MISCELLANEOUS,CASH,cash withdrawal,
MISCELLANEOUS,CASH,cashpoint,
MISCELLANEOUS,CASH,cash machine,
MISCELLANEOUS,CASH,cash lts,
MISCELLANEOUS,CASH,hfx,
MISCELLANEOUS,CASH,halifax cash,
MISCELLANEOUS,CASH,cash lts1,
MISCELLANEOUS,CASH,biceste,
MISCELLANEOUS,FEES,account fee,
MISCELLANEOUS,FEES,overdraft fee,
MISCELLANEOUS,FEES,foreign transaction fee,
MISCELLANEOUS,FEES,late payment fee,
MISCELLANEOUS,FEES,service charge,
MISCELLANEOUS,FEES,processing fee,
TRANSFERS,AUTOMATED_SAVINGS,plum,
TRANSFERS,AUTOMATED_SAVINGS,moneybox,
TRANSFERS,AUTOMATED_SAVINGS,chip,
TRANSFERS,AUTOMATED_SAVINGS,nutmeg,
TRANSFERS,AUTOMATED_SAVINGS,wealthify,
TRANSFERS,AUTOMATED_SAVINGS,automated saving,
TRANSFERS,AUTOMATED_SAVINGS,investment app,
TRANSFERS,AUTOMATED_SAVINGS,automated investment,
